Angle,Reflectance
65.000,0.552001
65.001,0.552061
65.002,0.552122
65.003,0.552183
65.004,0.552244
65.005,0.552305
65.006,0.552366
65.007,0.552426
65.008,0.552487
65.009,0.552548
65.010,0.552609
65.011,0.552670
65.012,0.552731
65.013,0.552791
65.014,0.552852
65.015,0.552913
65.016,0.552974
65.017,0.553034
65.018,0.553095
65.019,0.553156
65.020,0.553217
65.021,0.553278
65.022,0.553338
65.023,0.553399
65.024,0.553460
65.025,0.553521
65.026,0.553581
65.027,0.553642
65.028,0.553703
65.029,0.553764
65.030,0.553824
65.031,0.553885
65.032,0.553946
65.033,0.554007
65.034,0.554067
65.035,0.554128
65.036,0.554189
65.037,0.554249
65.038,0.554310
65.039,0.554371
65.040,0.554432
65.041,0.554492
65.042,0.554553
65.043,0.554614
65.044,0.554674
65.045,0.554735
65.046,0.554796
65.047,0.554856
65.048,0.554917
65.049,0.554978
65.050,0.555038
65.051,0.555099
65.052,0.555160
65.053,0.555220
65.054,0.555281
65.055,0.555342
65.056,0.555402
65.057,0.555463
65.058,0.555524
65.059,0.555584
65.060,0.555645
65.061,0.555705
65.062,0.555766
65.063,0.555827
65.064,0.555887
65.065,0.555948
65.066,0.556009
65.067,0.556069
65.068,0.556130
65.069,0.556190
65.070,0.556251
65.071,0.556312
65.072,0.556372
65.073,0.556433
65.074,0.556493
65.075,0.556554
65.076,0.556614
65.077,0.556675
65.078,0.556736
65.079,0.556796
65.080,0.556857
65.081,0.556917
65.082,0.556978
65.083,0.557038
65.084,0.557099
65.085,0.557159
65.086,0.557220
65.087,0.557280
65.088,0.557341
65.089,0.557402
65.090,0.557462
65.091,0.557523
65.092,0.557583
65.093,0.557644
65.094,0.557704
65.095,0.557765
65.096,0.557825
65.097,0.557886
65.098,0.557946
65.099,0.558007
65.100,0.558067
65.101,0.558127
65.102,0.558188
65.103,0.558248
65.104,0.558309
65.105,0.558369
65.106,0.558430
65.107,0.558490
65.108,0.558551
65.109,0.558611
65.110,0.558672
65.111,0.558732
65.112,0.558792
65.113,0.558853
65.114,0.558913
65.115,0.558974
65.116,0.559034
65.117,0.559095
65.118,0.559155
65.119,0.559215
65.120,0.559276
65.121,0.559336
65.122,0.559397
65.123,0.559457
65.124,0.559517
65.125,0.559578
65.126,0.559638
65.127,0.559699
65.128,0.559759
65.129,0.559819
65.130,0.559880
65.131,0.559940
65.132,0.560000
65.133,0.560061
65.134,0.560121
65.135,0.560182
65.136,0.560242
65.137,0.560302
65.138,0.560363
65.139,0.560423
65.140,0.560483
65.141,0.560544
65.142,0.560604
65.143,0.560664
65.144,0.560725
65.145,0.560785
65.146,0.560845
65.147,0.560905
65.148,0.560966
65.149,0.561026
65.150,0.561086
65.151,0.561147
65.152,0.561207
65.153,0.561267
65.154,0.561328
65.155,0.561388
65.156,0.561448
65.157,0.561508
65.158,0.561569
65.159,0.561629
65.160,0.561689
65.161,0.561749
65.162,0.561810
65.163,0.561870
65.164,0.561930
65.165,0.561990
65.166,0.562051
65.167,0.562111
65.168,0.562171
65.169,0.562231
65.170,0.562292
65.171,0.562352
65.172,0.562412
65.173,0.562472
65.174,0.562532
65.175,0.562593
65.176,0.562653
65.177,0.562713
65.178,0.562773
65.179,0.562833
65.180,0.562894
65.181,0.562954
65.182,0.563014
65.183,0.563074
65.184,0.563134
65.185,0.563195
65.186,0.563255
65.187,0.563315
65.188,0.563375
65.189,0.563435
65.190,0.563495
65.191,0.563555
65.192,0.563616
65.193,0.563676
65.194,0.563736
65.195,0.563796
65.196,0.563856
65.197,0.563916
65.198,0.563976
65.199,0.564037
65.200,0.564097
65.201,0.564157
65.202,0.564217
65.203,0.564277
65.204,0.564337
65.205,0.564397
65.206,0.564457
65.207,0.564517
65.208,0.564577
65.209,0.564637
65.210,0.564698
65.211,0.564758
65.212,0.564818
65.213,0.564878
65.214,0.564938
65.215,0.564998
65.216,0.565058
65.217,0.565118
65.218,0.565178
65.219,0.565238
65.220,0.565298
65.221,0.565358
65.222,0.565418
65.223,0.565478
65.224,0.565538
65.225,0.565598
65.226,0.565658
65.227,0.565718
65.228,0.565778
65.229,0.565838
65.230,0.565898
65.231,0.565958
65.232,0.566018
65.233,0.566078
65.234,0.566138
65.235,0.566198
65.236,0.566258
65.237,0.566318
65.238,0.566378
65.239,0.566438
65.240,0.566498
65.241,0.566558
65.242,0.566618
65.243,0.566678
65.244,0.566738
65.245,0.566798
65.246,0.566858
65.247,0.566918
65.248,0.566978
65.249,0.567038
65.250,0.567098
65.251,0.567158
65.252,0.567218
65.253,0.567278
65.254,0.567337
65.255,0.567397
65.256,0.567457
65.257,0.567517
65.258,0.567577
65.259,0.567637
65.260,0.567697
65.261,0.567757
65.262,0.567817
65.263,0.567877
65.264,0.567936
65.265,0.567996
65.266,0.568056
65.267,0.568116
65.268,0.568176
65.269,0.568236
65.270,0.568296
65.271,0.568356
65.272,0.568415
65.273,0.568475
65.274,0.568535
65.275,0.568595
65.276,0.568655
65.277,0.568715
65.278,0.568774
65.279,0.568834
65.280,0.568894
65.281,0.568954
65.282,0.569014
65.283,0.569074
65.284,0.569133
65.285,0.569193
65.286,0.569253
65.287,0.569313
65.288,0.569373
65.289,0.569432
65.290,0.569492
65.291,0.569552
65.292,0.569612
65.293,0.569671
65.294,0.569731
65.295,0.569791
65.296,0.569851
65.297,0.569911
65.298,0.569970
65.299,0.570030
65.300,0.570090
65.301,0.570150
65.302,0.570209
65.303,0.570269
65.304,0.570329
65.305,0.570389
65.306,0.570448
65.307,0.570508
65.308,0.570568
65.309,0.570627
65.310,0.570687
65.311,0.570747
65.312,0.570807
65.313,0.570866
65.314,0.570926
65.315,0.570986
65.316,0.571045
65.317,0.571105
65.318,0.571165
65.319,0.571224
65.320,0.571284
65.321,0.571344
65.322,0.571403
65.323,0.571463
65.324,0.571523
65.325,0.571582
65.326,0.571642
65.327,0.571702
65.328,0.571761
65.329,0.571821
65.330,0.571881
65.331,0.571940
65.332,0.572000
65.333,0.572060
65.334,0.572119
65.335,0.572179
65.336,0.572239
65.337,0.572298
65.338,0.572358
65.339,0.572417
65.340,0.572477
65.341,0.572537
65.342,0.572596
65.343,0.572656
65.344,0.572715
65.345,0.572775
65.346,0.572835
65.347,0.572894
65.348,0.572954
65.349,0.573013
65.350,0.573073
65.351,0.573132
65.352,0.573192
65.353,0.573252
65.354,0.573311
65.355,0.573371
65.356,0.573430
65.357,0.573490
65.358,0.573549
65.359,0.573609
65.360,0.573668
65.361,0.573728
65.362,0.573787
65.363,0.573847
65.364,0.573907
65.365,0.573966
65.366,0.574026
65.367,0.574085
65.368,0.574145
65.369,0.574204
65.370,0.574264
65.371,0.574323
65.372,0.574383
65.373,0.574442
65.374,0.574502
65.375,0.574561
65.376,0.574621
65.377,0.574680
65.378,0.574739
65.379,0.574799
65.380,0.574858
65.381,0.574918
65.382,0.574977
65.383,0.575037
65.384,0.575096
65.385,0.575156
65.386,0.575215
65.387,0.575275
65.388,0.575334
65.389,0.575393
65.390,0.575453
65.391,0.575512
65.392,0.575572
65.393,0.575631
65.394,0.575691
65.395,0.575750
65.396,0.575809
65.397,0.575869
65.398,0.575928
65.399,0.575988
65.400,0.576047
65.401,0.576106
65.402,0.576166
65.403,0.576225
65.404,0.576285
65.405,0.576344
65.406,0.576403
65.407,0.576463
65.408,0.576522
65.409,0.576581
65.410,0.576641
65.411,0.576700
65.412,0.576760
65.413,0.576819
65.414,0.576878
65.415,0.576938
65.416,0.576997
65.417,0.577056
65.418,0.577116
65.419,0.577175
65.420,0.577234
65.421,0.577294
65.422,0.577353
65.423,0.577412
65.424,0.577472
65.425,0.577531
65.426,0.577590
65.427,0.577649
65.428,0.577709
65.429,0.577768
65.430,0.577827
65.431,0.577887
65.432,0.577946
65.433,0.578005
65.434,0.578064
65.435,0.578124
65.436,0.578183
65.437,0.578242
65.438,0.578302
65.439,0.578361
65.440,0.578420
65.441,0.578479
65.442,0.578539
65.443,0.578598
65.444,0.578657
65.445,0.578716
65.446,0.578776
65.447,0.578835
65.448,0.578894
65.449,0.578953
65.450,0.579012
65.451,0.579072
65.452,0.579131
65.453,0.579190
65.454,0.579249
65.455,0.579308
65.456,0.579368
65.457,0.579427
65.458,0.579486
65.459,0.579545
65.460,0.579604
65.461,0.579664
65.462,0.579723
65.463,0.579782
65.464,0.579841
65.465,0.579900
65.466,0.579960
65.467,0.580019
65.468,0.580078
65.469,0.580137
65.470,0.580196
65.471,0.580255
65.472,0.580314
65.473,0.580374
65.474,0.580433
65.475,0.580492
65.476,0.580551
65.477,0.580610
65.478,0.580669
65.479,0.580728
65.480,0.580787
65.481,0.580847
65.482,0.580906
65.483,0.580965
65.484,0.581024
65.485,0.581083
65.486,0.581142
65.487,0.581201
65.488,0.581260
65.489,0.581319
65.490,0.581378
65.491,0.581438
65.492,0.581497
65.493,0.581556
65.494,0.581615
65.495,0.581674
65.496,0.581733
65.497,0.581792
65.498,0.581851
65.499,0.581910
65.500,0.581969
65.501,0.582028
65.502,0.582087
65.503,0.582146
65.504,0.582205
65.505,0.582264
65.506,0.582323
65.507,0.582382
65.508,0.582441
65.509,0.582500
65.510,0.582559
65.511,0.582618
65.512,0.582677
65.513,0.582736
65.514,0.582795
65.515,0.582854
65.516,0.582913
65.517,0.582972
65.518,0.583031
65.519,0.583090
65.520,0.583149
65.521,0.583208
65.522,0.583267
65.523,0.583326
65.524,0.583385
65.525,0.583444
65.526,0.583503
65.527,0.583562
65.528,0.583621
65.529,0.583680
65.530,0.583739
65.531,0.583798
65.532,0.583857
65.533,0.583916
65.534,0.583975
65.535,0.584034
65.536,0.584093
65.537,0.584152
65.538,0.584210
65.539,0.584269
65.540,0.584328
65.541,0.584387
65.542,0.584446
65.543,0.584505
65.544,0.584564
65.545,0.584623
65.546,0.584682
65.547,0.584741
65.548,0.584799
65.549,0.584858
65.550,0.584917
65.551,0.584976
65.552,0.585035
65.553,0.585094
65.554,0.585153
65.555,0.585212
65.556,0.585270
65.557,0.585329
65.558,0.585388
65.559,0.585447
65.560,0.585506
65.561,0.585565
65.562,0.585624
65.563,0.585682
65.564,0.585741
65.565,0.585800
65.566,0.585859
65.567,0.585918
65.568,0.585977
65.569,0.586035
65.570,0.586094
65.571,0.586153
65.572,0.586212
65.573,0.586271
65.574,0.586329
65.575,0.586388
65.576,0.586447
65.577,0.586506
65.578,0.586565
65.579,0.586623
65.580,0.586682
65.581,0.586741
65.582,0.586800
65.583,0.586858
65.584,0.586917
65.585,0.586976
65.586,0.587035
65.587,0.587093
65.588,0.587152
65.589,0.587211
65.590,0.587270
65.591,0.587328
65.592,0.587387
65.593,0.587446
65.594,0.587505
65.595,0.587563
65.596,0.587622
65.597,0.587681
65.598,0.587740
65.599,0.587798
65.600,0.587857
65.601,0.587916
65.602,0.587974
65.603,0.588033
65.604,0.588092
65.605,0.588150
65.606,0.588209
65.607,0.588268
65.608,0.588327
65.609,0.588385
65.610,0.588444
65.611,0.588503
65.612,0.588561
65.613,0.588620
65.614,0.588679
65.615,0.588737
65.616,0.588796
65.617,0.588855
65.618,0.588913
65.619,0.588972
65.620,0.589031
65.621,0.589089
65.622,0.589148
65.623,0.589206
65.624,0.589265
65.625,0.589324
65.626,0.589382
65.627,0.589441
65.628,0.589500
65.629,0.589558
65.630,0.589617
65.631,0.589675
65.632,0.589734
65.633,0.589793
65.634,0.589851
65.635,0.589910
65.636,0.589968
65.637,0.590027
65.638,0.590086
65.639,0.590144
65.640,0.590203
65.641,0.590261
65.642,0.590320
65.643,0.590379
65.644,0.590437
65.645,0.590496
65.646,0.590554
65.647,0.590613
65.648,0.590671
65.649,0.590730
65.650,0.590788
65.651,0.590847
65.652,0.590906
65.653,0.590964
65.654,0.591023
65.655,0.591081
65.656,0.591140
65.657,0.591198
65.658,0.591257
65.659,0.591315
65.660,0.591374
65.661,0.591432
65.662,0.591491
65.663,0.591549
65.664,0.591608
65.665,0.591666
65.666,0.591725
65.667,0.591783
65.668,0.591842
65.669,0.591900
65.670,0.591959
65.671,0.592017
65.672,0.592076
65.673,0.592134
65.674,0.592193
65.675,0.592251
65.676,0.592310
65.677,0.592368
65.678,0.592426
65.679,0.592485
65.680,0.592543
65.681,0.592602
65.682,0.592660
65.683,0.592719
