Wavelength,Reflectance
435.400,0.923814
435.500,0.923813
435.600,0.923813
435.700,0.923812
435.800,0.923812
435.900,0.923812
436.000,0.923812
436.100,0.923812
436.200,0.923812
436.300,0.923812
436.400,0.923813
436.500,0.923813
436.600,0.923815
436.700,0.923815
436.800,0.923815
436.900,0.923815
437.000,0.923816
437.100,0.923816
437.200,0.923816
437.300,0.923816
437.400,0.923816
437.500,0.923816
437.600,0.923818
437.700,0.923818
437.800,0.923819
437.900,0.923820
438.000,0.923821
438.100,0.923821
438.200,0.923823
438.300,0.923824
438.400,0.923824
438.500,0.923825
438.600,0.923825
438.700,0.923827
438.800,0.923827
438.900,0.923828
439.000,0.923829
439.100,0.923830
439.200,0.923831
439.300,0.923833
439.400,0.923835
439.500,0.923836
439.600,0.923838
439.700,0.923839
439.800,0.923841
439.900,0.923843
440.000,0.923844
440.100,0.923845
440.200,0.923846
440.300,0.923849
440.400,0.923850
440.500,0.923851
440.600,0.923854
440.700,0.923856
440.800,0.923859
440.900,0.923861
441.000,0.923863
441.100,0.923864
441.200,0.923867
441.300,0.923869
441.400,0.923871
441.500,0.923873
441.600,0.923875
441.700,0.923877
441.800,0.923879
441.900,0.923882
442.000,0.923883
442.100,0.923886
442.200,0.923887
442.300,0.923890
442.400,0.923893
442.500,0.923896
442.600,0.923898
442.700,0.923903
442.800,0.923905
442.900,0.923908
443.000,0.923911
443.100,0.923913
443.200,0.923916
443.300,0.923919
443.400,0.923922
443.500,0.923924
443.600,0.923927
443.700,0.923929
443.800,0.923932
443.900,0.923935
444.000,0.923938
444.100,0.923942
444.200,0.923945
444.300,0.923949
444.400,0.923952
444.500,0.923955
444.600,0.923958
444.700,0.923961
444.800,0.923967
444.900,0.923970
445.000,0.923973
445.100,0.923976
445.200,0.923980
445.300,0.923983
445.400,0.923986
445.500,0.923990
445.600,0.923994
445.700,0.923998
445.800,0.924002
445.900,0.924006
446.000,0.924010
446.100,0.924014
446.200,0.924018
446.300,0.924021
446.400,0.924025
446.500,0.924029
446.600,0.924033
446.700,0.924037
446.800,0.924041
446.900,0.924044
447.000,0.924051
447.100,0.924055
447.200,0.924059
447.300,0.924063
447.400,0.924068
447.500,0.924073
447.600,0.924077
447.700,0.924082
447.800,0.924086
447.900,0.924091
448.000,0.924095
448.100,0.924099
448.200,0.924104
448.300,0.924109
448.400,0.924113
448.500,0.924117
448.600,0.924122
448.700,0.924127
448.800,0.924132
448.900,0.924137
449.000,0.924142
449.100,0.924149
449.200,0.924155
449.300,0.924159
449.400,0.924164
449.500,0.924169
449.600,0.924175
449.700,0.924180
449.800,0.924185
449.900,0.924190
450.000,0.924195
450.100,0.924200
450.200,0.924205
450.300,0.924210
450.400,0.924217
450.500,0.924223
450.600,0.924228
450.700,0.924233
450.800,0.924240
450.900,0.924245
451.000,0.924250
451.100,0.924256
451.200,0.924264
451.300,0.924269
451.400,0.924275
451.500,0.924280
451.600,0.924286
451.700,0.924292
451.800,0.924298
451.900,0.924304
452.000,0.924311
452.100,0.924317
452.200,0.924323
452.300,0.924329
452.400,0.924336
452.500,0.924342
452.600,0.924348
452.700,0.924354
452.800,0.924362
452.900,0.924367
453.000,0.924372
453.100,0.924378
453.200,0.924385
453.300,0.924391
453.400,0.924398
453.500,0.924404
453.600,0.924412
453.700,0.924419
453.800,0.924425
453.900,0.924432
454.000,0.924440
454.100,0.924446
454.200,0.924453
454.300,0.924460
454.400,0.924468
454.500,0.924473
454.600,0.924479
454.700,0.924486
454.800,0.924493
454.900,0.924500
455.000,0.924507
455.100,0.924516
455.200,0.924523
455.300,0.924530
455.400,0.924538
455.500,0.924546
455.600,0.924553
455.700,0.924561
455.800,0.924568
455.900,0.924576
456.000,0.924582
456.100,0.924589
456.200,0.924598
456.300,0.924605
456.400,0.924612
456.500,0.924619
456.600,0.924628
456.700,0.924636
456.800,0.924644
456.900,0.924652
457.000,0.924661
457.100,0.924669
457.200,0.924677
457.300,0.924686
457.400,0.924694
457.500,0.924701
457.600,0.924709
457.700,0.924717
457.800,0.924726
457.900,0.924733
458.000,0.924742
458.100,0.924750
458.200,0.924759
458.300,0.924768
458.400,0.924777
458.500,0.924786
458.600,0.924795
458.700,0.924804
458.800,0.924813
458.900,0.924820
459.000,0.924829
459.100,0.924838
459.200,0.924847
459.300,0.924855
459.400,0.924865
459.500,0.924874
459.600,0.924882
459.700,0.924891
459.800,0.924901
459.900,0.924911
460.000,0.924920
460.100,0.924930
460.200,0.924940
460.300,0.924949
460.400,0.924957
460.500,0.924967
460.600,0.924977
460.700,0.924986
460.800,0.924996
