Wavelength,Reflectance
435.400,0.812663
435.500,0.812664
435.600,0.812664
435.700,0.812665
435.800,0.812666
435.900,0.812666
436.000,0.812667
436.100,0.812667
436.200,0.812668
436.300,0.812668
436.400,0.812669
436.500,0.812670
436.600,0.812668
436.700,0.812668
436.800,0.812669
436.900,0.812669
437.000,0.812670
437.100,0.812670
437.200,0.812671
437.300,0.812671
437.400,0.812671
437.500,0.812671
437.600,0.812672
437.700,0.812672
437.800,0.812670
437.900,0.812671
438.000,0.812671
438.100,0.812671
438.200,0.812672
438.300,0.812672
438.400,0.812672
438.500,0.812673
438.600,0.812673
438.700,0.812674
438.800,0.812673
438.900,0.812673
439.000,0.812671
439.100,0.812671
439.200,0.812671
439.300,0.812672
439.400,0.812672
439.500,0.812672
439.600,0.812672
439.700,0.812672
439.800,0.812673
439.900,0.812670
440.000,0.812670
440.100,0.812670
440.200,0.812670
440.300,0.812671
440.400,0.812670
440.500,0.812670
440.600,0.812668
440.700,0.812668
440.800,0.812668
440.900,0.812668
441.000,0.812668
441.100,0.812668
441.200,0.812668
441.300,0.812665
441.400,0.812665
441.500,0.812665
441.600,0.812665
441.700,0.812664
441.800,0.812664
441.900,0.812664
442.000,0.812661
442.100,0.812661
442.200,0.812660
442.300,0.812660
442.400,0.812660
442.500,0.812660
442.600,0.812659
442.700,0.812656
442.800,0.812656
442.900,0.812656
443.000,0.812656
443.100,0.812655
443.200,0.812655
443.300,0.812655
443.400,0.812652
443.500,0.812651
443.600,0.812650
443.700,0.812650
443.800,0.812650
443.900,0.812649
444.000,0.812648
444.100,0.812645
444.200,0.812645
444.300,0.812645
444.400,0.812644
444.500,0.812643
444.600,0.812642
444.700,0.812642
444.800,0.812639
444.900,0.812638
445.000,0.812637
445.100,0.812637
445.200,0.812636
445.300,0.812636
445.400,0.812634
445.500,0.812631
445.600,0.812630
445.700,0.812630
445.800,0.812629
445.900,0.812628
446.000,0.812627
446.100,0.812627
446.200,0.812626
446.300,0.812622
446.400,0.812621
446.500,0.812620
446.600,0.812620
446.700,0.812618
446.800,0.812617
446.900,0.812616
447.000,0.812613
447.100,0.812612
447.200,0.812611
447.300,0.812609
447.400,0.812608
447.500,0.812608
447.600,0.812606
447.700,0.812602
447.800,0.812601
447.900,0.812600
448.000,0.812599
448.100,0.812598
448.200,0.812596
448.300,0.812596
448.400,0.812592
448.500,0.812590
448.600,0.812589
448.700,0.812587
448.800,0.812587
448.900,0.812585
449.000,0.812584
449.100,0.812580
449.200,0.812579
449.300,0.812577
449.400,0.812576
449.500,0.812574
449.600,0.812573
449.700,0.812572
449.800,0.812568
449.900,0.812566
450.000,0.812565
450.100,0.812563
450.200,0.812562
450.300,0.812560
450.400,0.812559
450.500,0.812554
450.600,0.812553
450.700,0.812551
450.800,0.812550
450.900,0.812548
451.000,0.812546
451.100,0.812545
451.200,0.812541
451.300,0.812539
451.400,0.812537
451.500,0.812536
451.600,0.812534
451.700,0.812532
451.800,0.812530
451.900,0.812526
452.000,0.812524
452.100,0.812522
452.200,0.812520
452.300,0.812518
452.400,0.812514
452.500,0.812512
452.600,0.812510
452.700,0.812508
452.800,0.812504
452.900,0.812502
453.000,0.812500
453.100,0.812498
453.200,0.812494
453.300,0.812492
453.400,0.812490
453.500,0.812488
453.600,0.812483
453.700,0.812481
453.800,0.812479
453.900,0.812474
454.000,0.812472
454.100,0.812470
454.200,0.812468
454.300,0.812463
454.400,0.812461
454.500,0.812459
454.600,0.812457
454.700,0.812452
454.800,0.812450
454.900,0.812448
455.000,0.812443
455.100,0.812440
455.200,0.812438
455.300,0.812436
455.400,0.812431
455.500,0.812428
455.600,0.812426
455.700,0.812424
455.800,0.812419
455.900,0.812416
456.000,0.812414
456.100,0.812411
456.200,0.812406
456.300,0.812404
456.400,0.812401
456.500,0.812396
456.600,0.812394
456.700,0.812391
456.800,0.812388
456.900,0.812383
457.000,0.812381
457.100,0.812378
457.200,0.812376
457.300,0.812370
457.400,0.812368
457.500,0.812365
457.600,0.812360
457.700,0.812357
457.800,0.812354
457.900,0.812352
458.000,0.812347
458.100,0.812344
458.200,0.812341
458.300,0.812338
458.400,0.812333
458.500,0.812330
458.600,0.812327
458.700,0.812324
458.800,0.812318
458.900,0.812315
459.000,0.812312
459.100,0.812307
459.200,0.812304
459.300,0.812301
459.400,0.812298
459.500,0.812293
459.600,0.812290
459.700,0.812287
459.800,0.812284
459.900,0.812277
460.000,0.812274
460.100,0.812271
460.200,0.812265
460.300,0.812262
460.400,0.812258
460.500,0.812256
460.600,0.812250
460.700,0.812246
460.800,0.812243
460.900,0.812240
461.000,0.812234
461.100,0.812230
461.200,0.812227
461.300,0.812224
461.400,0.812218
461.500,0.812214
461.600,0.812211
461.700,0.812204
461.800,0.812201
461.900,0.812197
462.000,0.812194
462.100,0.812187
462.200,0.812184
462.300,0.812180
462.400,0.812176
462.500,0.812170
462.600,0.812166
462.700,0.812163
462.800,0.812157
462.900,0.812153
463.000,0.812148
463.100,0.812144
463.200,0.812138
463.300,0.812134
463.400,0.812130
463.500,0.812126
463.600,0.812119
463.700,0.812115
463.800,0.812111
463.900,0.812107
464.000,0.812100
464.100,0.812096
464.200,0.812092
464.300,0.812088
464.400,0.812084
464.500,0.812079
464.600,0.812077
464.700,0.812073
464.800,0.812068
464.900,0.812064
465.000,0.812059
465.100,0.812055
465.200,0.812050
465.300,0.812045
465.400,0.812041
465.500,0.812036
465.600,0.812034
465.700,0.812030
465.800,0.812025
465.900,0.812020
466.000,0.812016
466.100,0.812011
466.200,0.812006
466.300,0.812001
466.400,0.811996
466.500,0.811990
466.600,0.811988
466.700,0.811983
466.800,0.811977
466.900,0.811972
467.000,0.811967
467.100,0.811962
467.200,0.811957
467.300,0.811951
467.400,0.811947
467.500,0.811941
467.600,0.811939
467.700,0.811933
467.800,0.811927
467.900,0.811921
468.000,0.811915
468.100,0.811909
468.200,0.811904
468.300,0.811898
468.400,0.811892
468.500,0.811886
468.600,0.811883
468.700,0.811877
468.800,0.811871
468.900,0.811865
469.000,0.811859
469.100,0.811854
469.200,0.811847
469.300,0.811841
469.400,0.811834
469.500,0.811827
469.600,0.811823
469.700,0.811817
469.800,0.811810
469.900,0.811803
470.000,0.811797
470.100,0.811790
470.200,0.811783
470.300,0.811777
470.400,0.811770
470.500,0.811763
470.600,0.811759
470.700,0.811752
470.800,0.811745
470.900,0.811738
471.000,0.811730
471.100,0.811723
471.200,0.811715
471.300,0.811708
471.400,0.811700
471.500,0.811693
