Angle,Reflectance
55.000,0.322536
55.001,0.322559
55.002,0.322582
55.003,0.322606
55.004,0.322629
55.005,0.322652
55.006,0.322676
55.007,0.322699
55.008,0.322722
55.009,0.322746
55.010,0.322769
55.011,0.322792
55.012,0.322816
55.013,0.322839
55.014,0.322862
55.015,0.322886
55.016,0.322909
55.017,0.322932
55.018,0.322955
55.019,0.322979
55.020,0.323002
55.021,0.323025
55.022,0.323049
55.023,0.323072
55.024,0.323095
55.025,0.323119
55.026,0.323142
55.027,0.323165
55.028,0.323189
55.029,0.323212
55.030,0.323235
55.031,0.323259
55.032,0.323282
55.033,0.323305
55.034,0.323329
55.035,0.323352
55.036,0.323375
55.037,0.323399
55.038,0.323422
55.039,0.323445
55.040,0.323469
55.041,0.323492
55.042,0.323515
55.043,0.323539
55.044,0.323562
55.045,0.323585
55.046,0.323609
55.047,0.323632
55.048,0.323655
55.049,0.323678
55.050,0.323702
55.051,0.323725
55.052,0.323748
55.053,0.323772
55.054,0.323795
55.055,0.323818
55.056,0.323842
55.057,0.323865
55.058,0.323888
55.059,0.323912
55.060,0.323935
55.061,0.323958
55.062,0.323982
55.063,0.324005
55.064,0.324028
55.065,0.324052
55.066,0.324075
55.067,0.324098
55.068,0.324122
55.069,0.324145
55.070,0.324168
55.071,0.324192
55.072,0.324215
55.073,0.324238
55.074,0.324262
55.075,0.324285
55.076,0.324308
55.077,0.324332
55.078,0.324355
55.079,0.324378
55.080,0.324402
55.081,0.324425
55.082,0.324448
55.083,0.324472
55.084,0.324495
55.085,0.324518
55.086,0.324542
55.087,0.324565
55.088,0.324589
55.089,0.324612
55.090,0.324635
55.091,0.324659
55.092,0.324682
55.093,0.324705
55.094,0.324729
55.095,0.324752
55.096,0.324775
55.097,0.324799
55.098,0.324822
55.099,0.324845
55.100,0.324869
55.101,0.324892
55.102,0.324915
55.103,0.324939
55.104,0.324962
55.105,0.324985
55.106,0.325009
55.107,0.325032
55.108,0.325055
55.109,0.325079
55.110,0.325102
55.111,0.325125
55.112,0.325149
55.113,0.325172
55.114,0.325195
55.115,0.325219
55.116,0.325242
55.117,0.325265
55.118,0.325289
55.119,0.325312
55.120,0.325336
55.121,0.325359
55.122,0.325382
55.123,0.325406
55.124,0.325429
55.125,0.325452
55.126,0.325476
55.127,0.325499
55.128,0.325522
55.129,0.325546
55.130,0.325569
55.131,0.325592
55.132,0.325616
55.133,0.325639
55.134,0.325662
55.135,0.325686
55.136,0.325709
55.137,0.325732
55.138,0.325756
55.139,0.325779
55.140,0.325803
55.141,0.325826
55.142,0.325849
55.143,0.325873
55.144,0.325896
55.145,0.325919
55.146,0.325943
55.147,0.325966
55.148,0.325989
55.149,0.326013
55.150,0.326036
55.151,0.326059
55.152,0.326083
55.153,0.326106
55.154,0.326130
55.155,0.326153
55.156,0.326176
55.157,0.326200
55.158,0.326223
55.159,0.326246
55.160,0.326270
55.161,0.326293
55.162,0.326316
55.163,0.326340
55.164,0.326363
55.165,0.326386
55.166,0.326410
55.167,0.326433
55.168,0.326457
55.169,0.326480
55.170,0.326503
55.171,0.326527
55.172,0.326550
55.173,0.326573
55.174,0.326597
55.175,0.326620
55.176,0.326643
55.177,0.326667
55.178,0.326690
55.179,0.326714
55.180,0.326737
55.181,0.326760
55.182,0.326784
55.183,0.326807
55.184,0.326830
55.185,0.326854
55.186,0.326877
55.187,0.326901
55.188,0.326924
55.189,0.326947
55.190,0.326971
55.191,0.326994
55.192,0.327017
55.193,0.327041
55.194,0.327064
55.195,0.327087
55.196,0.327111
55.197,0.327134
55.198,0.327158
55.199,0.327181
55.200,0.327204
55.201,0.327228
55.202,0.327251
55.203,0.327274
55.204,0.327298
55.205,0.327321
55.206,0.327345
55.207,0.327368
55.208,0.327391
55.209,0.327415
55.210,0.327438
55.211,0.327461
55.212,0.327485
55.213,0.327508
55.214,0.327532
55.215,0.327555
55.216,0.327578
55.217,0.327602
55.218,0.327625
55.219,0.327648
55.220,0.327672
55.221,0.327695
55.222,0.327719
55.223,0.327742
55.224,0.327765
55.225,0.327789
55.226,0.327812
55.227,0.327835
55.228,0.327859
55.229,0.327882
55.230,0.327906
55.231,0.327929
55.232,0.327952
55.233,0.327976
55.234,0.327999
55.235,0.328022
55.236,0.328046
55.237,0.328069
55.238,0.328093
55.239,0.328116
55.240,0.328139
55.241,0.328163
55.242,0.328186
55.243,0.328209
55.244,0.328233
55.245,0.328256
55.246,0.328280
55.247,0.328303
55.248,0.328326
55.249,0.328350
55.250,0.328373
55.251,0.328397
55.252,0.328420
55.253,0.328443
55.254,0.328467
55.255,0.328490
55.256,0.328513
55.257,0.328537
55.258,0.328560
55.259,0.328584
55.260,0.328607
55.261,0.328630
55.262,0.328654
55.263,0.328677
55.264,0.328701
55.265,0.328724
55.266,0.328747
55.267,0.328771
55.268,0.328794
55.269,0.328818
55.270,0.328841
55.271,0.328864
55.272,0.328888
55.273,0.328911
55.274,0.328934
55.275,0.328958
55.276,0.328981
55.277,0.329005
55.278,0.329028
55.279,0.329051
55.280,0.329075
55.281,0.329098
55.282,0.329122
55.283,0.329145
55.284,0.329168
55.285,0.329192
55.286,0.329215
55.287,0.329239
55.288,0.329262
55.289,0.329285
55.290,0.329309
55.291,0.329332
55.292,0.329356
55.293,0.329379
55.294,0.329402
55.295,0.329426
55.296,0.329449
55.297,0.329473
55.298,0.329496
55.299,0.329519
55.300,0.329543
55.301,0.329566
55.302,0.329589
55.303,0.329613
55.304,0.329636
55.305,0.329660
55.306,0.329683
55.307,0.329706
55.308,0.329730
55.309,0.329753
55.310,0.329777
55.311,0.329800
55.312,0.329823
55.313,0.329847
55.314,0.329870
55.315,0.329894
55.316,0.329917
55.317,0.329940
55.318,0.329964
55.319,0.329987
55.320,0.330011
55.321,0.330034
55.322,0.330057
55.323,0.330081
55.324,0.330104
55.325,0.330128
55.326,0.330151
55.327,0.330174
55.328,0.330198
55.329,0.330221
55.330,0.330245
55.331,0.330268
55.332,0.330292
55.333,0.330315
55.334,0.330338
55.335,0.330362
55.336,0.330385
55.337,0.330409
55.338,0.330432
55.339,0.330455
55.340,0.330479
55.341,0.330502
55.342,0.330526
55.343,0.330549
55.344,0.330572
55.345,0.330596
55.346,0.330619
55.347,0.330643
55.348,0.330666
55.349,0.330689
55.350,0.330713
55.351,0.330736
55.352,0.330760
55.353,0.330783
55.354,0.330806
55.355,0.330830
55.356,0.330853
55.357,0.330877
55.358,0.330900
55.359,0.330924
55.360,0.330947
55.361,0.330970
55.362,0.330994
55.363,0.331017
55.364,0.331041
55.365,0.331064
55.366,0.331087
55.367,0.331111
55.368,0.331134
55.369,0.331158
55.370,0.331181
55.371,0.331204
55.372,0.331228
55.373,0.331251
55.374,0.331275
55.375,0.331298
55.376,0.331322
55.377,0.331345
55.378,0.331368
55.379,0.331392
55.380,0.331415
55.381,0.331439
55.382,0.331462
55.383,0.331485
55.384,0.331509
55.385,0.331532
55.386,0.331556
55.387,0.331579
55.388,0.331603
55.389,0.331626
55.390,0.331649
55.391,0.331673
55.392,0.331696
55.393,0.331720
55.394,0.331743
55.395,0.331766
55.396,0.331790
55.397,0.331813
55.398,0.331837
55.399,0.331860
55.400,0.331884
55.401,0.331907
55.402,0.331930
55.403,0.331954
55.404,0.331977
55.405,0.332001
55.406,0.332024
55.407,0.332048
55.408,0.332071
55.409,0.332094
55.410,0.332118
55.411,0.332141
55.412,0.332165
55.413,0.332188
55.414,0.332211
55.415,0.332235
55.416,0.332258
55.417,0.332282
55.418,0.332305
55.419,0.332329
55.420,0.332352
55.421,0.332375
55.422,0.332399
55.423,0.332422
55.424,0.332446
55.425,0.332469
55.426,0.332493
55.427,0.332516
55.428,0.332539
55.429,0.332563
55.430,0.332586
55.431,0.332610
55.432,0.332633
55.433,0.332657
55.434,0.332680
55.435,0.332703
55.436,0.332727
55.437,0.332750
55.438,0.332774
55.439,0.332797
55.440,0.332821
55.441,0.332844
55.442,0.332867
55.443,0.332891
55.444,0.332914
55.445,0.332938
55.446,0.332961
55.447,0.332985
55.448,0.333008
55.449,0.333031
55.450,0.333055
55.451,0.333078
55.452,0.333102
55.453,0.333125
55.454,0.333149
55.455,0.333172
55.456,0.333196
55.457,0.333219
55.458,0.333242
55.459,0.333266
55.460,0.333289
55.461,0.333313
